D002875|A11.284.187	A11.284.430.106.279.345.190
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
D012873|C16.320.850	C17.800.827
D010146|C23.888.592.612
D007972|C04.588.443.591.545	C04.834.512.513	C07.465.530.545	C23.300.816.513
D004814|C04.182.254
D004194|C23.550.288
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
D013577|C23.550.288.500
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
D007972|C04.588.443.591.545	C04.834.512.513	C07.465.530.545	C23.300.816.513
D009306|A14.549.167.860.700.500
D004814|C04.182.254
D003528|C04.557.470.200.025.220
D007972|C04.588.443.591.545	C04.834.512.513	C07.465.530.545	C23.300.816.513
D006222|C04.445
D003560|C04.182	C23.300.306
D003560|C04.182	C23.300.306
D009306|A14.549.167.860.700.500
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
D006984|C23.300.775
D009262|A17.600
D009262|A17.600
D009262|A17.600
D014059|A03.556.500.885	A14.549.885
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
D053549|C16.131.077.350.856	C16.131.831.350.856	C16.320.850.250.856	C17.800.529.594	C17.800.804.350.856	C17.800.827.250.856
